Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
1340505740,1083708308.0,REVI,nan,2025-01-17T21:23:30Z,nan,EQ,nan,N,nan,2024-07-22T20:21:47Z,2024-07-22,2028-02-22,nan,False,BILT,nan,nan,nan,"900,000",nan,USD,nan,nan,nan,"35,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.6756396,ACCY,nan,nan,nan,nan,nan,nan,False,USD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,USD,nan,nan,nan,False,nan,US6443931000,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZMK7CLXRT2P,NA/Swaps SStk Tot Rtn,CL A
1340518034,1305973870.0,MODI,TRAD,2025-01-20T16:37:51Z,True,EQ,nan,N,nan,2024-12-19T09:03:55Z,2024-12-23,2034-12-21,nan,False,XXXX,nan,nan,nan,"17,000,000",nan,JPY,nan,nan,nan,"8,100",nan,nan,nan,SHAS,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,098.75875",ACCY,nan,nan,nan,nan,nan,nan,True,JPY,1.0,nan,4.0,nan,nan,nan,nan,A009,nan,nan,nan,nan,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,JPY,nan,nan,nan,False,nan,JP3126470008,nan,ISIN,nan,nan,nan,OPET,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ92FMZRXRTD,NA/Swaps Sgle Stk Tot Rtn,COM STK
1340518078,1322348707.0,MODI,TRAD,2025-01-20T16:38:11Z,True,EQ,nan,N,nan,2025-01-07T09:08:23Z,2025-01-09,2035-01-11,nan,False,XXXX,nan,nan,nan,"92,000,000",nan,JPY,nan,nan,nan,"44,000",nan,nan,nan,SHAS,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,081.4482337247159",ACCY,nan,nan,nan,nan,nan,nan,True,JPY,1.0,nan,4.0,nan,nan,nan,nan,A009,nan,nan,nan,nan,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,JPY,nan,nan,nan,False,nan,JP3126470008,nan,ISIN,nan,nan,nan,OPET,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ92FMZRXRTD,NA/Swaps Sgle Stk Tot Rtn,COM STK
1340559556,1286923308.0,MODI,TRAD,2025-01-20T17:00:05Z,True,EQ,nan,N,nan,2024-12-12T17:01:12Z,2024-12-12,9999-12-31,nan,False,BILT,nan,nan,nan,"18,000",nan,EUR,nan,nan,nan,935,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.5848,SHAS,nan,nan,nan,nan,nan,nan,False,EUR,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,EUR,nan,nan,nan,False,nan,DE000A0LR936,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZLXRTSPL2DG,NA/Swaps Sgle Stk CFD,STEICO SEInhaber-Aktien o.N.
1340691257,1134851808.0,MODI,TRAD,2025-01-20T17:21:06Z,True,EQ,nan,N,nan,2024-08-29T02:50:25Z,2024-09-02,2034-08-31,nan,False,XXXX,nan,nan,nan,"6,000,000",nan,JPY,nan,nan,nan,"2,900",nan,nan,nan,SHAS,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,068.9715314364026",ACCY,nan,nan,nan,nan,nan,nan,True,JPY,1.0,nan,4.0,nan,nan,nan,nan,A009,nan,nan,nan,nan,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,JPY,nan,nan,nan,False,nan,JP3126470008,nan,ISIN,nan,nan,nan,OPET,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ92FMZRXRTD,NA/Swaps Sgle Stk Tot Rtn,COM STK
1340741838,nan,NEWT,TRAD,2025-01-20T17:25:34Z,nan,EQ,nan,N,nan,2025-01-17T09:02:52Z,2025-01-21,2035-01-19,nan,False,XXXX,nan,nan,nan,"530,000",nan,JPY,nan,nan,nan,5,nan,nan,nan,SHAS,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"75,714.33343057584",ACCY,nan,nan,nan,nan,nan,nan,True,JPY,1.0,nan,4.0,nan,nan,nan,nan,A009,nan,nan,nan,nan,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,JPY,nan,nan,nan,False,nan,JP3048880003,nan,ISIN,nan,nan,nan,OPET,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZWBHFT3XRT7,NA/Swaps Sgle Stk Tot Rtn,REIT
1340479244,nan,NEWT,TRAD,2025-01-20T15:22:07Z,nan,EQ,nan,N,nan,2025-01-20T15:22:07Z,2025-01-20,2025-02-24,nan,False,XXXX,nan,nan,nan,40,nan,ZAR,nan,nan,nan,40,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0526298,ACCY,nan,0.0,nan,nan,nan,nan,False,ZAR,1.0,nan,3.0,nan,nan,nan,nan,A004,nan,MNTH,nan,1.0,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,ZAR,ZAR,nan,nan,False,nan,ZAE000185526,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZNSJXRT5LWN,NA/Swaps SStk Tot Rtn,Ordinary Share
1340487781,1340479244.0,TERM,ETRM,2025-01-20T15:45:07Z,nan,EQ,nan,N,nan,2025-01-20T15:22:07Z,2025-01-20,2025-02-24,nan,False,XXXX,nan,nan,nan,40,nan,ZAR,nan,nan,nan,5,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0526298,ACCY,nan,0.0,nan,nan,nan,nan,False,ZAR,1.0,nan,3.0,nan,nan,nan,nan,A004,nan,MNTH,nan,1.0,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,ZAR,ZAR,nan,nan,False,nan,ZAE000185526,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZNSJXRT5LWN,NA/Swaps SStk Tot Rtn,Ordinary Share
1340453277,1295445834.0,MODI,TRAD,2025-01-20T14:05:06Z,True,EQ,nan,N,nan,2024-12-18T14:04:55Z,2024-12-18,2025-10-09,nan,False,BILT,nan,nan,nan,"480,000",nan,AUD,nan,nan,nan,"170,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.74699178936,ACCY,nan,nan,nan,nan,nan,nan,False,AUD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AUD,nan,nan,nan,False,nan,AU000000RRL8,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZRMQGG4XRTN,NA/Swaps SStk Tot Rtn,ORDINARY FULLY PAID
1340453568,1337682826.0,MODI,TRAD,2025-01-20T14:05:08Z,True,EQ,nan,N,nan,2025-01-17T14:04:43Z,2025-01-17,2025-10-10,nan,False,BILT,nan,nan,nan,"10,000,000",nan,JPY,nan,nan,nan,"2,100",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,762.13751893791",ACCY,nan,nan,nan,nan,nan,nan,False,JPY,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,JPY,nan,nan,nan,False,nan,JP3743000006,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ810F07DXRT,NA/Swaps SStk Tot Rtn,COM STK
